"Deck ID","Deck URL","Colours"
"Growing Threat (March of the Machine Commander Precon De","https://moxfield.com/decks/Rwg0cZ0Yqk2ujq_GXIQA2g","Black,White"
"Guided by Nature","https://moxfield.com/decks/s-PLN5Vul0OF8a7xbff0RA","Green"
"Guided by Nature","https://moxfield.com/decks/7r4b_MnVLkWFm4VyIWnfTQ","Green"
"Hail, Caesar","https://moxfield.com/decks/d4lz50OUpUiGp3o-4kgX4g","Black,Red,White"
"Heads I Win, Tails You Lose (Secret Lair Commander 2021","https://moxfield.com/decks/UP1ktQ_GyEK2KErkvoUt-g","Blue,Red"
"Heavenly Inferno","https://moxfield.com/decks/RTMMomJxi0iK-r6ZDzBXeQ","Black,Red,White"
"Heavenly Inferno","https://moxfield.com/decks/RjnJ0tpS-UyYyu6jVUmR7g","Black,Red,White"
"Invent Superiority","https://moxfield.com/decks/jU5ihzvK8ES7TOlRlw87og","Black,Blue,Red,White"
"Jeskai Striker (Tarkir Dragonstorm Commander Precon Deck","https://moxfield.com/decks/90IaIz_OaUyg1oE7a2OQsw","Blue,Red,White"
"Jump Scare!","https://moxfield.com/decks/caQw6W6nwkSjBJkBED-0-Q","Blue,Green"
"Land's Wrath","https://moxfield.com/decks/hxxwZ5fXHEWBIKbY3HEpxQ","Green,Red,White"
"Legends' Legacy (Dominaria United Commander Precon Deckl","https://moxfield.com/decks/9J-00z816kymdi6vRN_zog","Black,Red,White"
"Limit Break","https://moxfield.com/decks/xNhT2XmIrkOu2lXb4-vjhg","Green,Red,White"
"Limit Break Collector's Edition (Final Fantasy Commander","https://moxfield.com/decks/VW_xog8_F024oGmzaJ9t7Q","Green,Red,White"
"Living Energy","https://moxfield.com/decks/jWSmSfkdGEijTfTX_d8qNQ","Blue,Green,Red"
"Lorehold Legacies","https://moxfield.com/decks/Vgzv5-wfcUqwUbd77Flqhw","Red,White"
"Maestros Massacre (Streets of New Capenna Commander Prec","https://moxfield.com/decks/flLw5YvIOE2tBprZ_GTsmQ","Black,Blue,Red"
"Mardu Surge (Tarkir Dragonstorm Commander Precon Decklis","https://moxfield.com/decks/8KaWrDZ65k6x_VvjwJclGg","Black,Red,White"
"Masters of Evil","https://moxfield.com/decks/4gxofFdLD0OQleQer2rVbg","Black,Blue,Red"
"Merciless Rage","https://moxfield.com/decks/z_LC4U8zVE6k4Z7EoxPV0g","Black,Red"
"Mind Flayarrrs (Battle for Baldur's Gate Commander Preco","https://moxfield.com/decks/Xv5AslbsKE-9-FPK3E3IHQ","Black,Blue"
"Mind Seize","https://moxfield.com/decks/caPxDQM6Zk6R7MNuhVVXqA","Black,Blue,Red"
"Miracle Worker","https://moxfield.com/decks/dL6gcTQ7hUq6nQq7fijzUA","Black,Blue,White"
"Mirror Mastery","https://moxfield.com/decks/70auYSm75E-Iwf4Oc0g7Lg","Blue,Green,Red"
"Mishra's Burnished Banner (The Brothers' War Commander P","https://moxfield.com/decks/2SN7rtbtuEy6rydE2U55gA","Black,Blue,Red"
"Most Wanted (Outlaws of Thunder Junction Commander Preco","https://moxfield.com/decks/V766u1HzgUCREUUSgsnfFA","Black,Red,White"
"Mutant Menace","https://moxfield.com/decks/EE44WgAwhUOI0XRfFQqolQ","Black,Blue,Green"
"Mystic Intellect","https://moxfield.com/decks/HQVV0USd-ECJa_7kyXdsnw","Blue,Red,White"
"Nature of the Beast","https://moxfield.com/decks/qd28JYqCYUKhJtheTNKx6A","Green,Red,White"
"Nature's Vengeance","https://moxfield.com/decks/m2GByoxwLU-kOIAWK3nFkw","Black,Green,Red"
"Necron Dynasties (Warhammer 40,000 Commander Collector's","https://moxfield.com/decks/wTPRYlK1MESHmDM2DDeOGQ","Black"
"Necron Dynasties (Warhammer 40,000 Commander Precon Deck","https://moxfield.com/decks/8ufvofa2ZkWCvXRR1lCFKQ","Black"
"Obscura Operation (Streets of New Capenna Commander Prec","https://moxfield.com/decks/flG8SlpN50qt-L-rQ6VftQ","Black,Blue,White"
"Open Hostility","https://moxfield.com/decks/eX6IyOAU70CFfkW0G6TYyw","Black,Green,Red,White"
